x-axis,1,2,3,F1
second,Volt,Volt,Volt,Volt
-5.060000E-03,+7.501387224E+00,+7.617065534E+00,+7.348618088E+00,-200.658694E-03
-5.055000E-03,+7.501387224E+00,+7.591939906E+00,+7.423994973E+00,+24.900E-06
-5.050000E-03,+7.501387224E+00,+7.617065534E+00,+7.423994973E+00,-175.573245E-03
-5.045000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-5.040000E-03,+7.501387224E+00,+7.541688649E+00,+7.423994973E+00,-200.658694E-03
-5.035000E-03,+7.325507825E+00,+7.416060507E+00,+7.248115575E+00,-200.658694E-03
-5.030000E-03,+7.476261595E+00,+7.416060507E+00,+7.423994973E+00,-25.060549E-03
-5.025000E-03,+7.501387224E+00,+7.491437392E+00,+7.348618088E+00,-200.658694E-03
-5.020000E-03,+7.501387224E+00,+7.617065534E+00,+7.222989947E+00,-200.658694E-03
-5.015000E-03,+7.300382197E+00,+7.617065534E+00,+7.423994973E+00,-200.658694E-03
-5.010000E-03,+7.501387224E+00,+7.617065534E+00,+7.398869345E+00,-175.573245E-03
-5.005000E-03,+7.501387224E+00,+7.617065534E+00,+7.423994973E+00,-200.658694E-03
-5.000000E-03,+7.501387224E+00,+7.617065534E+00,+7.298366832E+00,-200.658694E-03
-4.995000E-03,+7.501387224E+00,+7.441186136E+00,+7.248115575E+00,-200.658694E-03
-4.990000E-03,+7.501387224E+00,+7.441186136E+00,+7.398869345E+00,-200.658694E-03
-4.985000E-03,+7.501387224E+00,+7.617065534E+00,+7.222989947E+00,-200.658694E-03
-4.980000E-03,+7.501387224E+00,+7.416060507E+00,+7.298366832E+00,-200.658694E-03
-4.975000E-03,+7.501387224E+00,+7.617065534E+00,+7.273241203E+00,-175.573245E-03
-4.970000E-03,+7.476261595E+00,+7.591939906E+00,+7.423994973E+00,-25.060549E-03
-4.965000E-03,+7.501387224E+00,+7.617065534E+00,+7.423994973E+00,-200.658694E-03
-4.960000E-03,+7.501387224E+00,+7.541688649E+00,+7.423994973E+00,-200.658694E-03
-4.955000E-03,+7.501387224E+00,+7.416060507E+00,+7.222989947E+00,-200.658694E-03
-4.950000E-03,+7.501387224E+00,+7.617065534E+00,+7.423994973E+00,-200.658694E-03
-4.945000E-03,+7.501387224E+00,+7.617065534E+00,+7.423994973E+00,-125.402346E-03
-4.940000E-03,+7.426010339E+00,+7.491437392E+00,+7.423994973E+00,-275.915042E-03
-4.935000E-03,+7.677266622E+00,+7.441186136E+00,+7.423994973E+00,-200.658694E-03
-4.930000E-03,+7.501387224E+00,+7.617065534E+00,+7.398869345E+00,-200.658694E-03
-4.925000E-03,+7.501387224E+00,+7.617065534E+00,+7.423994973E+00,-200.658694E-03
-4.920000E-03,+7.501387224E+00,+7.491437392E+00,+7.348618088E+00,-75.231448E-03
-4.915000E-03,+7.501387224E+00,+7.591939906E+00,+7.423994973E+00,-25.060549E-03
-4.910000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-175.573245E-03
-4.905000E-03,+7.426010339E+00,+7.541688649E+00,+7.423994973E+00,-75.231448E-03
-4.900000E-03,+7.426010339E+00,+7.617065534E+00,+7.423994973E+00,-200.658694E-03
-4.895000E-03,+7.476261595E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.890000E-03,+7.652140994E+00,+7.416060507E+00,+7.398869345E+00,-25.060549E-03
-4.885000E-03,+7.501387224E+00,+7.541688649E+00,+7.423994973E+00,-125.402346E-03
-4.880000E-03,+7.501387224E+00,+7.416060507E+00,+7.348618088E+00,-200.658694E-03
-4.875000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-175.573245E-03
-4.870000E-03,+7.501387224E+00,+7.441186136E+00,+7.423994973E+00,-200.658694E-03
-4.865000E-03,+7.426010339E+00,+7.416060507E+00,+7.423994973E+00,-75.231448E-03
-4.860000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,+24.900E-06
-4.855000E-03,+7.501387224E+00,+7.591939906E+00,+7.423994973E+00,-200.658694E-03
-4.850000E-03,+7.501387224E+00,+7.617065534E+00,+7.423994973E+00,-200.658694E-03
-4.845000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.840000E-03,+7.426010339E+00,+7.416060507E+00,+7.423994973E+00,-75.231448E-03
-4.835000E-03,+7.501387224E+00,+7.441186136E+00,+7.423994973E+00,+24.900E-06
-4.830000E-03,+7.501387224E+00,+7.591939906E+00,+7.423994973E+00,-25.060549E-03
-4.825000E-03,+7.501387224E+00,+7.416060507E+00,+7.298366832E+00,+50.195798E-03
-4.820000E-03,+7.501387224E+00,+7.416060507E+00,+7.499371858E+00,-125.402346E-03
-4.815000E-03,+7.526512852E+00,+7.441186136E+00,+7.423994973E+00,-25.060549E-03
-4.810000E-03,+7.677266622E+00,+7.441186136E+00,+7.398869345E+00,-200.658694E-03
-4.805000E-03,+7.501387224E+00,+7.491437392E+00,+7.423994973E+00,+24.900E-06
-4.800000E-03,+7.576764109E+00,+7.340683622E+00,+7.423994973E+00,+24.900E-06
-4.795000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-175.573245E-03
-4.790000E-03,+7.526512852E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.785000E-03,+7.501387224E+00,+7.491437392E+00,+7.423994973E+00,-75.231448E-03
-4.780000E-03,+7.426010339E+00,+7.416060507E+00,+7.298366832E+00,-125.402346E-03
-4.775000E-03,+7.501387224E+00,+7.416060507E+00,+7.398869345E+00,-175.573245E-03
-4.770000E-03,+7.300382197E+00,+7.416060507E+00,+7.423994973E+00,-175.573245E-03
-4.765000E-03,+7.501387224E+00,+7.416060507E+00,+7.298366832E+00,+75.281247E-03
-4.760000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.755000E-03,+7.325507825E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.750000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.745000E-03,+7.426010339E+00,+7.416060507E+00,+7.423994973E+00,+24.900E-06
-4.740000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,+50.195798E-03
-4.735000E-03,+7.501387224E+00,+7.416060507E+00,+7.248115575E+00,+175.623044E-03
-4.730000E-03,+7.501387224E+00,+7.416060507E+00,+7.398869345E+00,-25.060549E-03
-4.725000E-03,+7.501387224E+00,+7.416060507E+00,+7.348618088E+00,+24.900E-06
-4.720000E-03,+7.501387224E+00,+7.340683622E+00,+7.222989947E+00,-75.231448E-03
-4.715000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,+150.537595E-03
-4.710000E-03,+7.501387224E+00,+7.390934879E+00,+7.423994973E+00,+200.708494E-03
-4.705000E-03,+7.375759082E+00,+7.416060507E+00,+7.423994973E+00,+50.195798E-03
-4.700000E-03,+7.375759082E+00,+7.416060507E+00,+7.222989947E+00,-125.402346E-03
-4.695000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,+24.900E-06
-4.690000E-03,+7.501387224E+00,+7.416060507E+00,+7.398869345E+00,+175.623044E-03
-4.685000E-03,+7.702392250E+00,+7.416060507E+00,+7.423994973E+00,-50.145999E-03
-4.680000E-03,+7.501387224E+00,+7.416060507E+00,+7.298366832E+00,-200.658694E-03
-4.675000E-03,+7.476261595E+00,+7.416060507E+00,+7.423994973E+00,-25.060549E-03
-4.670000E-03,+7.677266622E+00,+7.390934879E+00,+7.248115575E+00,-25.060549E-03
-4.665000E-03,+7.501387224E+00,+7.290432366E+00,+7.423994973E+00,-75.231448E-03
-4.660000E-03,+7.451135967E+00,+7.491437392E+00,+7.298366832E+00,+24.900E-06
-4.655000E-03,+7.501387224E+00,+7.416060507E+00,+7.398869345E+00,-25.060549E-03
-4.650000E-03,+7.325507825E+00,+7.416060507E+00,+7.423994973E+00,+25.110349E-03
-4.645000E-03,+7.426010339E+00,+7.340683622E+00,+7.423994973E+00,-50.145999E-03
-4.640000E-03,+7.501387224E+00,+7.416060507E+00,+7.298366832E+00,-75.231448E-03
-4.635000E-03,+7.501387224E+00,+7.390934879E+00,+7.423994973E+00,-175.573245E-03
-4.630000E-03,+7.501387224E+00,+7.441186136E+00,+7.423994973E+00,-200.658694E-03
-4.625000E-03,+7.576764109E+00,+7.416060507E+00,+7.348618088E+00,+24.900E-06
-4.620000E-03,+7.426010339E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.615000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.610000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-175.573245E-03
-4.605000E-03,+7.501387224E+00,+7.416060507E+00,+7.298366832E+00,-125.402346E-03
-4.600000E-03,+7.426010339E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.595000E-03,+7.476261595E+00,+7.416060507E+00,+7.398869345E+00,-25.060549E-03
-4.590000E-03,+7.476261595E+00,+7.416060507E+00,+7.423994973E+00,-175.573245E-03
-4.585000E-03,+7.426010339E+00,+7.416060507E+00,+7.423994973E+00,-75.231448E-03
-4.580000E-03,+7.375759082E+00,+7.215055481E+00,+7.298366832E+00,-125.402346E-03
-4.575000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-175.573245E-03
-4.570000E-03,+7.300382197E+00,+7.416060507E+00,+7.398869345E+00,-200.658694E-03
-4.565000E-03,+7.501387224E+00,+7.340683622E+00,+7.423994973E+00,+125.452146E-03
-4.560000E-03,+7.501387224E+00,+7.416060507E+00,+7.348618088E+00,-200.658694E-03
-4.555000E-03,+7.325507825E+00,+7.416060507E+00,+7.423994973E+00,-175.573245E-03
-4.550000E-03,+7.325507825E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.545000E-03,+7.426010339E+00,+7.290432366E+00,+7.423994973E+00,+75.281247E-03
-4.540000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.535000E-03,+7.501387224E+00,+7.240181109E+00,+7.423994973E+00,+175.623044E-03
-4.530000E-03,+7.501387224E+00,+7.441186136E+00,+7.423994973E+00,+175.623044E-03
-4.525000E-03,+7.501387224E+00,+7.541688649E+00,+7.423994973E+00,-200.658694E-03
-4.520000E-03,+7.501387224E+00,+7.290432366E+00,+7.423994973E+00,-75.231448E-03
-4.515000E-03,+7.501387224E+00,+7.416060507E+00,+7.248115575E+00,-25.060549E-03
-4.510000E-03,+7.501387224E+00,+7.240181109E+00,+7.423994973E+00,-175.573245E-03
-4.505000E-03,+7.501387224E+00,+7.491437392E+00,+7.423994973E+00,+24.900E-06
-4.500000E-03,+7.375759082E+00,+7.416060507E+00,+7.499371858E+00,+125.452146E-03
-4.495000E-03,+7.476261595E+00,+7.416060507E+00,+7.423994973E+00,-175.573245E-03
-4.490000E-03,+7.300382197E+00,+7.416060507E+00,+7.222989947E+00,-200.658694E-03
-4.485000E-03,+7.426010339E+00,+7.416060507E+00,+7.348618088E+00,+24.900E-06
-4.480000E-03,+7.426010339E+00,+7.541688649E+00,+7.222989947E+00,-200.658694E-03
-4.475000E-03,+7.501387224E+00,+7.591939906E+00,+7.423994973E+00,-25.060549E-03
-4.470000E-03,+7.501387224E+00,+7.240181109E+00,+7.248115575E+00,+24.900E-06
-4.465000E-03,+7.501387224E+00,+7.416060507E+00,+7.348618088E+00,-75.231448E-03
-4.460000E-03,+7.501387224E+00,+7.290432366E+00,+7.423994973E+00,-75.231448E-03
-4.455000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-175.573245E-03
-4.450000E-03,+7.325507825E+00,+7.416060507E+00,+7.248115575E+00,+24.900E-06
-4.445000E-03,+7.501387224E+00,+7.416060507E+00,+7.348618088E+00,+24.900E-06
-4.440000E-03,+7.501387224E+00,+7.416060507E+00,+7.298366832E+00,-125.402346E-03
-4.435000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-25.060549E-03
-4.430000E-03,+7.501387224E+00,+7.591939906E+00,+7.423994973E+00,-175.573245E-03
-4.425000E-03,+7.501387224E+00,+7.491437392E+00,+7.298366832E+00,-75.231448E-03
-4.420000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-75.231448E-03
-4.415000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.410000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-25.060549E-03
-4.405000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-125.402346E-03
-4.400000E-03,+7.501387224E+00,+7.491437392E+00,+7.348618088E+00,-200.658694E-03
-4.395000E-03,+7.677266622E+00,+7.416060507E+00,+7.248115575E+00,-25.060549E-03
-4.390000E-03,+7.501387224E+00,+7.591939906E+00,+7.248115575E+00,-200.658694E-03
-4.385000E-03,+7.501387224E+00,+7.491437392E+00,+7.423994973E+00,-200.658694E-03
-4.380000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.375000E-03,+7.501387224E+00,+7.441186136E+00,+7.423994973E+00,-200.658694E-03
-4.370000E-03,+7.501387224E+00,+7.441186136E+00,+7.248115575E+00,-200.658694E-03
-4.365000E-03,+7.426010339E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.360000E-03,+7.375759082E+00,+7.541688649E+00,+7.423994973E+00,-200.658694E-03
-4.355000E-03,+7.325507825E+00,+7.416060507E+00,+7.398869345E+00,-200.658694E-03
-4.350000E-03,+7.652140994E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.345000E-03,+7.501387224E+00,+7.416060507E+00,+7.298366832E+00,-200.658694E-03
-4.340000E-03,+7.501387224E+00,+7.617065534E+00,+7.423994973E+00,-75.231448E-03
-4.335000E-03,+7.476261595E+00,+7.416060507E+00,+7.423994973E+00,+24.900E-06
-4.330000E-03,+7.501387224E+00,+7.416060507E+00,+7.599874372E+00,-25.060549E-03
-4.325000E-03,+7.501387224E+00,+7.491437392E+00,+7.298366832E+00,-125.402346E-03
-4.320000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-75.231448E-03
-4.315000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.310000E-03,+7.501387224E+00,+7.416060507E+00,+7.398869345E+00,-200.658694E-03
-4.305000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,+24.900E-06
-4.300000E-03,+7.501387224E+00,+7.416060507E+00,+7.298366832E+00,-200.658694E-03
-4.295000E-03,+7.501387224E+00,+7.416060507E+00,+7.398869345E+00,-200.658694E-03
-4.290000E-03,+7.677266622E+00,+7.240181109E+00,+7.423994973E+00,+24.900E-06
-4.285000E-03,+7.501387224E+00,+7.541688649E+00,+7.423994973E+00,+24.900E-06
-4.280000E-03,+7.451135967E+00,+7.416060507E+00,+7.423994973E+00,-125.402346E-03
-4.275000E-03,+7.325507825E+00,+7.441186136E+00,+7.423994973E+00,-25.060549E-03
-4.270000E-03,+7.501387224E+00,+7.441186136E+00,+7.423994973E+00,-200.658694E-03
-4.265000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.260000E-03,+7.501387224E+00,+7.541688649E+00,+7.423994973E+00,-125.402346E-03
-4.255000E-03,+7.476261595E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.250000E-03,+7.300382197E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.245000E-03,+7.375759082E+00,+7.416060507E+00,+7.298366832E+00,-50.145999E-03
-4.240000E-03,+7.501387224E+00,+7.416060507E+00,+7.348618088E+00,+24.900E-06
-4.235000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,+24.900E-06
-4.230000E-03,+7.501387224E+00,+7.441186136E+00,+7.248115575E+00,-200.658694E-03
-4.225000E-03,+7.501387224E+00,+7.541688649E+00,+7.348618088E+00,-125.402346E-03
-4.220000E-03,+7.501387224E+00,+7.416060507E+00,+7.298366832E+00,-200.658694E-03
-4.215000E-03,+7.501387224E+00,+7.441186136E+00,+7.423994973E+00,-200.658694E-03
-4.210000E-03,+7.501387224E+00,+7.441186136E+00,+7.398869345E+00,-25.060549E-03
