x-axis,F1
second,Volt
-6.760000E-03,
-6.756600E-03,-14.638317E-03
-6.753200E-03,-7.329239E-03
-6.749800E-03,-80.358401E-03
-6.746400E-03,-7.361186E-03
-6.743000E-03,-36.135E-06
-6.739600E-03,-58.415196E-03
-6.736200E-03,-58.540699E-03
-6.732800E-03,-36.135E-06
-6.729400E-03,-36.487964E-03
-6.726000E-03,-29.178887E-03
-6.722600E-03,-21.869810E-03
-6.719200E-03,-14.560733E-03
-6.715800E-03,-7.251656E-03
-6.712400E-03,-36.135E-06
-6.709000E-03,-36.135E-06
-6.705600E-03,-65.646690E-03
-6.702200E-03,-36.135E-06
-6.698800E-03,-36.135E-06
-6.695400E-03,-36.135E-06
-6.692000E-03,-36.410381E-03
-6.688600E-03,-29.101303E-03
-6.685200E-03,-36.135E-06
-6.681800E-03,-36.135E-06
-6.678400E-03,-7.174072E-03
-6.675000E-03,-80.187260E-03
-6.671600E-03,-36.135E-06
-6.668200E-03,-36.135E-06
-6.664800E-03,+4.979944333E+00
-6.661400E-03,+4.929029517E+00
-6.658000E-03,+4.899622068E+00
-6.654600E-03,+4.899622068E+00
-6.651200E-03,+4.899622068E+00
-6.647800E-03,+4.899622068E+00
-6.644400E-03,+4.885252638E+00
-6.641000E-03,+4.812239449E+00
-6.637600E-03,+4.819051078E+00
-6.634200E-03,+4.658655271E+00
-6.630800E-03,+4.658655271E+00
-6.627400E-03,+4.578333005E+00
-6.624000E-03,+4.527495773E+00
-6.620600E-03,+4.410954430E+00
-6.617200E-03,+4.337366208E+00
-6.613800E-03,+4.285953943E+00
-6.610400E-03,+4.198322601E+00
-6.607000E-03,+4.148137985E+00
-6.603600E-03,+4.089416643E+00
-6.600200E-03,+3.935754880E+00
-6.596800E-03,+3.855432615E+00
-6.593400E-03,+3.709732546E+00
-6.590000E-03,+3.694788083E+00
-6.586600E-03,+3.584903201E+00
-6.583200E-03,+3.453821287E+00
-6.579800E-03,+3.373499021E+00
-6.576400E-03,+3.293176755E+00
-6.573000E-03,+3.212854490E+00
-6.569600E-03,+3.052209958E+00
-6.566200E-03,+2.971887693E+00
-6.562800E-03,+2.891161535E+00
-6.559400E-03,+2.730920896E+00
-6.556000E-03,+2.650598630E+00
-6.552600E-03,+2.454294081E+00
-6.549200E-03,+2.409631833E+00
-6.545800E-03,+2.292360290E+00
-6.542400E-03,+2.204728947E+00
