x-axis,1,2,F1
second,Volt,Volt,Volt
-25.00000E-03,-2.57286429E+00,-924.62311E-03,-1.60638428E+00
-24.97500E-03,-2.54271354E+00,-964.82411E-03,-1.60638428E+00
-24.95000E-03,-2.53266329E+00,-944.72361E-03,-1.58630371E+00
-24.92500E-03,-2.52261304E+00,-924.62311E-03,-1.59634399E+00
-24.90000E-03,-2.49246228E+00,-924.62311E-03,-1.60638428E+00
-24.87500E-03,-2.53266329E+00,-884.42210E-03,-1.60638428E+00
-24.85000E-03,-2.49246228E+00,-904.52260E-03,-1.58630371E+00
-24.82500E-03,-2.49246228E+00,-884.42210E-03,-1.57626343E+00
-24.80000E-03,-2.45226128E+00,-884.42210E-03,-1.56622314E+00
-24.77500E-03,-2.45226128E+00,-854.27135E-03,-1.56622314E+00
-24.75000E-03,-2.45226128E+00,-844.22110E-03,-1.58630371E+00
-24.72500E-03,-2.45226128E+00,-844.22110E-03,-1.60638428E+00
-24.70000E-03,-2.41206028E+00,-844.22110E-03,-1.60638428E+00
-24.67500E-03,-2.38190952E+00,-804.02009E-03,-1.57626343E+00
-24.65000E-03,-2.39195977E+00,-804.02009E-03,-1.56622314E+00
-24.62500E-03,-2.37185927E+00,-773.86934E-03,-1.60638428E+00
-24.60000E-03,-2.37185927E+00,-804.02009E-03,-1.56622314E+00
-24.57500E-03,-2.37185927E+00,-793.96984E-03,-1.56622314E+00
-24.55000E-03,-2.35175877E+00,-783.91959E-03,-1.58630371E+00
-24.52500E-03,-2.32160802E+00,-763.81909E-03,-1.59634399E+00
-24.50000E-03,-2.33165827E+00,-723.61808E-03,-1.56622314E+00
-24.47500E-03,-2.33165827E+00,-723.61808E-03,-1.56622314E+00
-24.45000E-03,-2.29145726E+00,-723.61808E-03,-1.54614258E+00
-24.42500E-03,-2.29145726E+00,-713.56783E-03,-1.50598145E+00
-24.40000E-03,-2.25125626E+00,-723.61808E-03,-1.56622314E+00
-24.37500E-03,-2.26130651E+00,-713.56783E-03,-1.59634399E+00
-24.35000E-03,-2.25125626E+00,-703.51758E-03,-1.56622314E+00
-24.32500E-03,-2.22110550E+00,-683.41708E-03,-1.56622314E+00
-24.30000E-03,-2.25125626E+00,-643.21607E-03,-1.60638428E+00
-24.27500E-03,-2.21105525E+00,-683.41708E-03,-1.53610229E+00
-24.25000E-03,-2.17085425E+00,-643.21607E-03,-1.54614258E+00
-24.22500E-03,-2.20100500E+00,-643.21607E-03,-1.56622314E+00
-24.20000E-03,-2.17085425E+00,-643.21607E-03,-1.56622314E+00
-24.17500E-03,-2.20100500E+00,-572.86432E-03,-1.55618286E+00
-24.15000E-03,-2.13065324E+00,-623.11557E-03,-1.56622314E+00
-24.12500E-03,-2.13065324E+00,-603.01507E-03,-1.55618286E+00
-24.10000E-03,-2.13065324E+00,-603.01507E-03,-1.52606201E+00
-24.07500E-03,-2.12060299E+00,-562.81406E-03,-1.49594116E+00
-24.05000E-03,-2.13065324E+00,-562.81406E-03,-1.52606201E+00
-24.02500E-03,-2.08040199E+00,-603.01507E-03,-1.49594116E+00
-24.00000E-03,-2.09045224E+00,-562.81406E-03,-1.52606201E+00
-23.97500E-03,-2.05025123E+00,-562.81406E-03,-1.52606201E+00
-23.95000E-03,-2.07035174E+00,-522.61306E-03,-1.50598145E+00
-23.92500E-03,-2.05025123E+00,-522.61306E-03,-1.49594116E+00
-23.90000E-03,-2.01005023E+00,-482.41206E-03,-1.52606201E+00
-23.87500E-03,-2.04020098E+00,-522.61306E-03,-1.51602173E+00
-23.85000E-03,-2.01005023E+00,-482.41206E-03,-1.48590088E+00
-23.82500E-03,-1.97989948E+00,-482.41206E-03,-1.51602173E+00
-23.80000E-03,-1.96984923E+00,-482.41206E-03,-1.48590088E+00
-23.77500E-03,-1.96984923E+00,-472.36180E-03,-1.48590088E+00
-23.75000E-03,-1.94974872E+00,-462.31155E-03,-1.48590088E+00
-23.72500E-03,-1.93969847E+00,-452.26130E-03,-1.45578003E+00
-23.70000E-03,-1.92964822E+00,-482.41206E-03,-1.44573975E+00
-23.67500E-03,-1.91959797E+00,-472.36180E-03,-1.44573975E+00
-23.65000E-03,-1.86934671E+00,-442.21105E-03,-1.44573975E+00
-23.62500E-03,-1.85929646E+00,-412.06030E-03,-1.45578003E+00
-23.60000E-03,-1.88944722E+00,-402.01005E-03,-1.44573975E+00
-23.57500E-03,-1.84924621E+00,-412.06030E-03,-1.46582031E+00
-23.55000E-03,-1.86934671E+00,-381.90954E-03,-1.42565918E+00
-23.52500E-03,-1.84924621E+00,-361.80904E-03,-1.44573975E+00
-23.50000E-03,-1.80904521E+00,-361.80904E-03,-1.44573975E+00
-23.47500E-03,-1.83919596E+00,-361.80904E-03,-1.44573975E+00
-23.45000E-03,-1.78894470E+00,-361.80904E-03,-1.44573975E+00
-23.42500E-03,-1.79899496E+00,-351.75879E-03,-1.44573975E+00
-23.40000E-03,-1.76884420E+00,-321.60804E-03,-1.40557861E+00
-23.37500E-03,-1.76884420E+00,-351.75879E-03,-1.41561890E+00
-23.35000E-03,-1.74874370E+00,-321.60804E-03,-1.40557861E+00
-23.32500E-03,-1.75879395E+00,-321.60804E-03,-1.39553833E+00
-23.30000E-03,-1.76884420E+00,-321.60804E-03,-1.40557861E+00
-23.27500E-03,-1.69849244E+00,-311.55779E-03,-1.40557861E+00
-23.25000E-03,-1.66834169E+00,-301.50753E-03,-1.36541748E+00
-23.22500E-03,-1.65829144E+00,-311.55779E-03,-1.36541748E+00
-23.20000E-03,-1.64824119E+00,-281.40703E-03,-1.40557861E+00
-23.17500E-03,-1.67839194E+00,-281.40703E-03,-1.39553833E+00
-23.15000E-03,-1.62814069E+00,-261.30653E-03,-1.36541748E+00
-23.12500E-03,-1.63819094E+00,-281.40703E-03,-1.36541748E+00
-23.10000E-03,-1.60804018E+00,-241.20603E-03,-1.36541748E+00
-23.07500E-03,-1.60804018E+00,-271.35678E-03,-1.35537720E+00
-23.05000E-03,-1.60804018E+00,-241.20603E-03,-1.34533691E+00
-23.02500E-03,-1.59798993E+00,-241.20603E-03,-1.36541748E+00
-23.00000E-03,-1.56783918E+00,-201.00502E-03,-1.32525635E+00
-22.97500E-03,-1.56783918E+00,-201.00502E-03,-1.32525635E+00
-22.95000E-03,-1.56783918E+00,-221.10553E-03,-1.30517578E+00
-22.92500E-03,-1.55778893E+00,-190.95477E-03,-1.30517578E+00
-22.90000E-03,-1.52763817E+00,-160.80402E-03,-1.32525635E+00
-22.87500E-03,-1.52763817E+00,-190.95477E-03,-1.32525635E+00
-22.85000E-03,-1.48743717E+00,-180.90452E-03,-1.32525635E+00
-22.82500E-03,-1.48743717E+00,-201.00502E-03,-1.28509521E+00
-22.80000E-03,-1.44723617E+00,-201.00502E-03,-1.24493408E+00
-22.77500E-03,-1.45728642E+00,-160.80402E-03,-1.25497437E+00
-22.75000E-03,-1.46733667E+00,-160.80402E-03,-1.30517578E+00
-22.72500E-03,-1.41708541E+00,-160.80402E-03,-1.28509521E+00
-22.70000E-03,-1.40703516E+00,-160.80402E-03,-1.28509521E+00
-22.67500E-03,-1.40703516E+00,-150.75377E-03,-1.27505493E+00
-22.65000E-03,-1.38693466E+00,-160.80402E-03,-1.26501465E+00
-22.62500E-03,-1.33668340E+00,-150.75377E-03,-1.25497437E+00
-22.60000E-03,-1.36683416E+00,-120.60301E-03,-1.24493408E+00
-22.57500E-03,-1.36683416E+00,-120.60301E-03,-1.27505493E+00
-22.55000E-03,-1.36683416E+00,-100.50251E-03,-1.22485352E+00
-22.52500E-03,-1.35678391E+00,-80.40201E-03,-1.21481323E+00
-22.50000E-03,-1.28643215E+00,-120.60301E-03,-1.20477295E+00
-22.47500E-03,-1.28643215E+00,-80.40201E-03,-1.20477295E+00
-22.45000E-03,-1.26633164E+00,-80.40201E-03,-1.18469238E+00
-22.42500E-03,-1.24623114E+00,-50.25126E-03,-1.20477295E+00
-22.40000E-03,-1.28643215E+00,-80.40201E-03,-1.20477295E+00
-22.37500E-03,-1.24623114E+00,-50.25126E-03,-1.20477295E+00
-22.35000E-03,-1.24623114E+00,-40.20100E-03,-1.18469238E+00
-22.32500E-03,-1.20603014E+00,-80.40201E-03,-1.16461182E+00
-22.30000E-03,-1.20603014E+00,-40.20100E-03,-1.16461182E+00
-22.27500E-03,-1.21608039E+00,-40.20100E-03,-1.15457153E+00
-22.25000E-03,-1.18592964E+00,-40.20100E-03,-1.16461182E+00
-22.22500E-03,-1.16582913E+00,-40.20100E-03,-1.16461182E+00
-22.20000E-03,-1.16582913E+00,-40.20100E-03,-1.16461182E+00
-22.17500E-03,-1.16582913E+00,-10.05025E-03,-1.12445068E+00
-22.15000E-03,-1.14572863E+00,+0.0E+00,-1.12445068E+00
-22.12500E-03,-1.10552763E+00,+0.0E+00,-1.11441040E+00
-22.10000E-03,-1.12562813E+00,+0.0E+00,-1.08428955E+00
-22.07500E-03,-1.12562813E+00,-10.05025E-03,-1.12445068E+00
-22.05000E-03,-1.08542712E+00,+0.0E+00,-1.08428955E+00
-22.02500E-03,-1.08542712E+00,+40.20100E-03,-1.09432983E+00
-22.00000E-03,-1.04522612E+00,+40.20100E-03,-1.08428955E+00
-21.97500E-03,-1.04522612E+00,+40.20100E-03,-1.04412842E+00
-21.95000E-03,-1.04522612E+00,+40.20100E-03,-1.04412842E+00
-21.92500E-03,-1.04522612E+00,+40.20100E-03,-1.08428955E+00
-21.90000E-03,-1.00502511E+00,+80.40201E-03,-1.04412842E+00
-21.87500E-03,-1.00502511E+00,+50.25126E-03,-1.04412842E+00
-21.85000E-03,-984.92461E-03,+60.30151E-03,-1.04412842E+00
-21.82500E-03,-994.97486E-03,+70.35176E-03,-1.03408813E+00
-21.80000E-03,-964.82411E-03,+40.20100E-03,-1.00396729E+00
-21.77500E-03,-934.67336E-03,+40.20100E-03,-1.00396729E+00
-21.75000E-03,-924.62311E-03,+100.50251E-03,-1.04412842E+00
-21.72500E-03,-944.72361E-03,+80.40201E-03,-973.84644E-03
-21.70000E-03,-924.62311E-03,+80.40201E-03,-1.00396729E+00
-21.67500E-03,-894.47235E-03,+90.45226E-03,-1.00396729E+00
-21.65000E-03,-904.52260E-03,+120.60301E-03,-963.80615E-03
-21.62500E-03,-844.22110E-03,+130.65326E-03,-973.84644E-03
-21.60000E-03,-884.42210E-03,+120.60301E-03,-963.80615E-03
-21.57500E-03,-844.22110E-03,+110.55276E-03,-963.80615E-03
-21.55000E-03,-844.22110E-03,+140.70352E-03,-963.80615E-03
-21.52500E-03,-804.02009E-03,+110.55276E-03,-963.80615E-03
-21.50000E-03,-804.02009E-03,+120.60301E-03,-963.80615E-03
-21.47500E-03,-804.02009E-03,+120.60301E-03,-923.64502E-03
-21.45000E-03,-783.91959E-03,+140.70352E-03,-923.64502E-03
-21.42500E-03,-773.86934E-03,+130.65326E-03,-953.76587E-03
-21.40000E-03,-763.81909E-03,+160.80402E-03,-883.48389E-03
-21.37500E-03,-763.81909E-03,+130.65326E-03,-923.64502E-03
-21.35000E-03,-723.61808E-03,+140.70352E-03,-903.56445E-03
-21.32500E-03,-753.76884E-03,+160.80402E-03,-913.60474E-03
-21.30000E-03,-723.61808E-03,+160.80402E-03,-883.48389E-03
-21.27500E-03,-723.61808E-03,+190.95477E-03,-883.48389E-03
-21.25000E-03,-683.41708E-03,+160.80402E-03,-903.56445E-03
-21.22500E-03,-653.26632E-03,+170.85427E-03,-843.32275E-03
-21.20000E-03,-643.21607E-03,+201.00502E-03,-843.32275E-03
-21.17500E-03,-653.26632E-03,+201.00502E-03,-843.32275E-03
-21.15000E-03,-623.11557E-03,+201.00502E-03,-803.16162E-03
-21.12500E-03,-613.06532E-03,+201.00502E-03,-833.28247E-03
-21.10000E-03,-643.21607E-03,+201.00502E-03,-843.32275E-03
-21.07500E-03,-603.01507E-03,+201.00502E-03,-803.16162E-03
-21.05000E-03,-582.91457E-03,+201.00502E-03,-803.16162E-03
-21.02500E-03,-592.96482E-03,+211.05527E-03,-793.12134E-03
-21.00000E-03,-522.61306E-03,+201.00502E-03,-763.00049E-03
-20.97500E-03,-532.66331E-03,+251.25628E-03,-773.04077E-03
-20.95000E-03,-542.71356E-03,+241.20603E-03,-783.08105E-03
-20.92500E-03,-522.61306E-03,+211.05527E-03,-793.12134E-03
-20.90000E-03,-522.61306E-03,+281.40703E-03,-763.00049E-03
-20.87500E-03,-512.56281E-03,+221.10553E-03,-763.00049E-03
-20.85000E-03,-482.41206E-03,+241.20603E-03,-742.91992E-03
-20.82500E-03,-482.41206E-03,+251.25628E-03,-722.83936E-03
-20.80000E-03,-442.21105E-03,+241.20603E-03,-722.83936E-03
-20.77500E-03,-442.21105E-03,+301.50753E-03,-712.79907E-03
-20.75000E-03,-422.11055E-03,+281.40703E-03,-682.67822E-03
-20.72500E-03,-432.16080E-03,+281.40703E-03,-712.79907E-03
-20.70000E-03,-402.01005E-03,+281.40703E-03,-682.67822E-03
-20.67500E-03,-361.80904E-03,+241.20603E-03,-682.67822E-03
-20.65000E-03,-381.90954E-03,+281.40703E-03,-642.51709E-03
-20.62500E-03,-391.95979E-03,+281.40703E-03,-672.63794E-03
-20.60000E-03,-361.80904E-03,+281.40703E-03,-642.51709E-03
-20.57500E-03,-351.75879E-03,+321.60804E-03,-642.51709E-03
-20.55000E-03,-321.60804E-03,+321.60804E-03,-642.51709E-03
-20.52500E-03,-321.60804E-03,+321.60804E-03,-632.47681E-03
-20.50000E-03,-281.40703E-03,+321.60804E-03,-602.35596E-03
-20.47500E-03,-261.30653E-03,+321.60804E-03,-572.23511E-03
-20.45000E-03,-281.40703E-03,+301.50753E-03,-602.35596E-03
-20.42500E-03,-251.25628E-03,+321.60804E-03,-602.35596E-03
-20.40000E-03,-241.20603E-03,+321.60804E-03,-602.35596E-03
-20.37500E-03,-271.35678E-03,+351.75879E-03,-582.27539E-03
-20.35000E-03,-221.10553E-03,+361.80904E-03,-562.19482E-03
-20.32500E-03,-231.15578E-03,+351.75879E-03,-562.19482E-03
-20.30000E-03,-201.00502E-03,+361.80904E-03,-562.19482E-03
-20.27500E-03,-170.85427E-03,+321.60804E-03,-522.03369E-03
-20.25000E-03,-180.90452E-03,+321.60804E-03,-562.19482E-03
