#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (�)
1,100.0,2.0000,-37.20,88.69
2,113.5,2.0000,-36.10,88.52
3,128.8,2.0000,-35.00,88.37
4,146.2,2.0000,-33.90,88.22
5,166.0,2.0000,-32.82,88.01
6,188.4,2.0000,-31.72,87.84
7,213.8,2.0000,-30.63,87.62
8,242.7,2.0000,-29.55,87.44
9,275.5,2.0000,-28.46,87.14
10,312.7,2.0000,-27.36,86.86
11,355.0,2.0000,-26.27,86.53
12,402.9,2.0000,-25.16,86.12
13,457.3,2.0000,-24.07,85.71
14,519.1,2.0000,-22.97,85.19
15,589.2,2.0000,-21.90,84.68
16,668.7,2.0000,-20.78,84.00
17,759.1,2.0000,-19.69,83.31
18,861.6,2.0000,-18.61,82.51
19,977.9,2.0000,-17.54,81.62
20,1110.0,2.0000,-16.51,80.62
21,1259.9,2.0000,-15.44,79.46
22,1430.1,2.0000,-14.39,78.16
23,1623.2,2.0000,-13.34,76.70
24,1842.4,2.0000,-12.30,75.10
25,2091.3,2.0000,-11.27,73.28
26,2373.7,2.0000,-10.28,71.26
27,2694.3,2.0000,-9.32,69.03
28,3058.2,2.0000,-8.42,66.56
29,3471.2,2.0000,-7.52,63.93
30,3940.0,2.0000,-6.65,61.04
31,4472.1,2.0000,-5.85,57.97
32,5076.1,2.0000,-5.03,54.70
33,5761.7,2.0000,-4.34,51.32
34,6539.8,2.0000,-3.70,47.83
35,7423.1,2.0000,-3.11,44.27
36,8425.6,2.0000,-2.63,40.80
37,9563.5,2.0000,-2.20,37.27
38,10855.1,2.0000,-1.82,33.95
39,12321.2,2.0000,-1.52,30.74
40,13985.2,2.0000,-1.24,27.66
41,15874.0,2.0000,-1.03,24.85
42,18017.9,2.0000,-0.80,22.21
43,20451.3,2.0000,-0.66,19.76
44,23213.4,2.0000,-0.53,17.57
45,26348.5,2.0000,-0.44,15.56
46,29907.0,2.0000,-0.37,13.74
47,33946.1,2.0000,-0.31,12.08
48,38530.7,2.0000,-0.25,10.60
49,43734.5,2.0000,-0.21,9.28
50,49641.1,2.0000,-0.19,8.08
51,56345.4,2.0000,-0.16,6.93
52,63955.1,2.0000,-0.14,5.95
53,72592.7,2.0000,-0.13,5.03
54,82396.7,2.0000,-0.10,4.19
55,93524.8,2.0000,-0.09,3.44
56,106155.9,2.0000,-0.10,2.69
57,120492.9,2.0000,-0.08,1.99
58,136766.1,2.0000,-0.08,1.32
59,155237.2,2.0000,-0.06,0.68
60,176202.8,2.0000,-0.08,0.00
61,200000.0,2.0000,-0.08,-0.52
