x-axis,F1
second,Volt
-4.190000E-03,
-4.185400E-03,
-4.180800E-03,+55.278411E-03
-4.176200E-03,+75.403583E-03
-4.171600E-03,+88.750605E-03
-4.167000E-03,+95.432524E-03
-4.162400E-03,+95.432524E-03
-4.157800E-03,+81.993061E-03
-4.153200E-03,+95.432524E-03
-4.148600E-03,-11.574011E-03
-4.144000E-03,+55.417874E-03
-4.139400E-03,+55.186069E-03
-4.134800E-03,+28.409857E-03
-4.130200E-03,+95.432524E-03
-4.125600E-03,+35.340641E-03
-4.121000E-03,+88.832468E-03
-4.116400E-03,+95.432524E-03
-4.111800E-03,+75.345920E-03
-4.107200E-03,+28.348296E-03
-4.102600E-03,+95.432524E-03
-4.098000E-03,+75.330581E-03
-4.093400E-03,+28.317515E-03
-4.088800E-03,+55.417874E-03
-4.084200E-03,+75.535155E-03
-4.079600E-03,+95.432524E-03
-4.075000E-03,+88.643233E-03
-4.070400E-03,-24.879979E-03
-4.065800E-03,+61.956574E-03
-4.061200E-03,+41.762947E-03
-4.056600E-03,+75.284565E-03
-4.052000E-03,+95.432524E-03
-4.047400E-03,+95.432524E-03
-4.042800E-03,+75.269226E-03
-4.038200E-03,+88.924501E-03
-4.033600E-03,+28.851159E-03
-4.029000E-03,+35.791358E-03
-4.024400E-03,+28.163612E-03
-4.019800E-03,+28.881940E-03
-4.015200E-03,+54.909042E-03
-4.010600E-03,+88.955179E-03
-4.006000E-03,+95.432524E-03
-4.001400E-03,+55.417874E-03
-3.996800E-03,+95.432524E-03
-3.992200E-03,+95.432524E-03
-3.987600E-03,+95.432524E-03
-3.983000E-03,-11.943380E-03
-3.978400E-03,+81.592912E-03
-3.973800E-03,+75.657866E-03
-3.969200E-03,+95.432524E-03
-3.964600E-03,+55.417874E-03
-3.960000E-03,+95.432524E-03
-3.955400E-03,-5.588952E-03
-3.950800E-03,+88.505183E-03
-3.946200E-03,+55.417874E-03
-3.941600E-03,+95.432524E-03
-3.937000E-03,+62.360554E-03
-3.932400E-03,+75.703883E-03
-3.927800E-03,+55.417874E-03
-3.923200E-03,+88.474505E-03
-3.918600E-03,+15.134670E-03
-3.914000E-03,+89.062551E-03
-3.909400E-03,+81.439008E-03
-3.904800E-03,+54.662797E-03
-3.900200E-03,+61.772507E-03
-3.895600E-03,+62.406570E-03
-3.891000E-03,+34.299990E-03
-3.886400E-03,+95.432524E-03
-3.881800E-03,+48.366832E-03
-3.877200E-03,+95.432524E-03
-3.872600E-03,+89.108568E-03
-3.868000E-03,+29.220528E-03
-3.863400E-03,+55.417874E-03
-3.858800E-03,+61.726491E-03
-3.854200E-03,+8.099957E-03
-3.849600E-03,+56.027520E-03
-3.845000E-03,+95.432524E-03
-3.840400E-03,+88.382472E-03
-3.835800E-03,+34.115512E-03
-3.831200E-03,-6.004029E-03
-3.826600E-03,+62.483265E-03
-3.822000E-03,+95.432524E-03
-3.817400E-03,+76.602693E-03
-3.812800E-03,+95.432524E-03
-3.808200E-03,+95.432524E-03
-3.803600E-03,+49.128685E-03
-3.799000E-03,+29.374431E-03
-3.794400E-03,+75.857272E-03
-3.789800E-03,+27.640340E-03
-3.785200E-03,+55.417874E-03
-3.780600E-03,+74.977787E-03
-3.776000E-03,+27.609559E-03
-3.771400E-03,+48.243298E-03
-3.766800E-03,+95.432524E-03
-3.762200E-03,+95.432524E-03
-3.757600E-03,-10.547876E-03
-3.753000E-03,+55.417874E-03
-3.748400E-03,+61.603780E-03
-3.743800E-03,+88.275100E-03
-3.739200E-03,+95.432524E-03
-3.734600E-03,+27.517217E-03
-3.730000E-03,-24.879979E-03
-3.725400E-03,+74.916431E-03
-3.720800E-03,+21.331208E-03
-3.716200E-03,+95.432524E-03
-3.711600E-03,+56.335327E-03
-3.707000E-03,+95.432524E-03
-3.702400E-03,+95.432524E-03
-3.697800E-03,+95.432524E-03
-3.693200E-03,+55.417874E-03
-3.688600E-03,+95.432524E-03
-3.684000E-03,+55.417874E-03
-3.679400E-03,+49.267662E-03
-3.674800E-03,-3.129073E-03
-3.670200E-03,+55.417874E-03
-3.665600E-03,+43.189231E-03
-3.661000E-03,+95.432524E-03
-3.656400E-03,+95.432524E-03
-3.651800E-03,+95.432524E-03
-3.647200E-03,+95.432524E-03
-3.642600E-03,+76.026000E-03
-3.638000E-03,+27.301752E-03
-3.633400E-03,+80.823394E-03
-3.628800E-03,+15.134670E-03
-3.624200E-03,+95.432524E-03
-3.619600E-03,+88.137050E-03
-3.615000E-03,+74.793720E-03
-3.610400E-03,+83.327003E-03
-3.605800E-03,+62.728687E-03
-3.601200E-03,+95.432524E-03
-3.596600E-03,+83.357784E-03
-3.592000E-03,+15.134670E-03
-3.587400E-03,+53.954840E-03
-3.582800E-03,+77.386726E-03
-3.578200E-03,+95.432524E-03
-3.573600E-03,+13.909410E-03
-3.569000E-03,+83.419346E-03
-3.564400E-03,+88.075694E-03
-3.559800E-03,+76.118033E-03
-3.555200E-03,+61.389035E-03
-3.550600E-03,+95.432524E-03
-3.546000E-03,+95.432524E-03
-3.541400E-03,+61.373696E-03
-3.536800E-03,+80.607929E-03
-3.532200E-03,+74.701687E-03
-3.527600E-03,+95.432524E-03
-3.523000E-03,-17.477133E-03
-3.518400E-03,+15.134670E-03
-3.513800E-03,+83.542468E-03
-3.509200E-03,+95.432524E-03
-3.504600E-03,+76.179388E-03
-3.500000E-03,+83.573249E-03
-3.495400E-03,+87.999000E-03
-3.490800E-03,+76.194727E-03
-3.486200E-03,+83.604030E-03
